EmployeeNumber,Satisfaction,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
261,0,35,Travel_Rarely,Research & Development,23,2,Life Sciences,Male,2,2,Manufacturing Director,5916,3,Yes,3,40.0,0,1,3,1,0,0,1
981,1,53,Travel_Rarely,Sales,2,2,Medical,Male,3,4,Manager,14852,6,No,3,40.0,1,3,4,17,13,15,2
1157,0,33,Travel_Rarely,Sales,9,4,Marketing,Female,3,2,Sales Executive,8224,0,Yes,3,40.0,0,3,3,5,2,0,3
1666,1,43,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,2,4,Research Director,17603,1,No,4,40.0,1,3,3,14,10,6,11
721,1,39,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,2,2,Healthcare Representative,4553,1,No,3,40.0,0,4,3,20,7,11,10
2062,1,39,Travel_Rarely,Research & Development,6,1,Medical,Male,2,3,Healthcare Representative,9991,4,No,3,40.0,1,5,3,7,7,1,7
1527,1,46,Travel_Rarely,Sales,3,3,Life Sciences,Female,3,4,Manager,16606,8,No,3,40.0,1,2,4,13,12,5,1
382,1,38,Travel_Rarely,Sales,7,2,Medical,Female,4,2,Sales Executive,5605,1,Yes,4,40.0,1,3,3,8,0,7,7
244,1,46,Travel_Rarely,Sales,1,2,Marketing,Female,3,3,Sales Executive,10453,1,No,4,40.0,3,2,3,24,13,15,7
826,1,35,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,4,1,Research Scientist,2506,3,No,3,40.0,0,0,3,2,2,2,2
1582,1,38,Travel_Rarely,Sales,14,3,Life Sciences,Male,3,2,Sales Executive,9924,0,No,3,40.0,1,3,3,9,8,7,7
1987,1,25,Travel_Rarely,Human Resources,2,3,Human Resources,Female,3,1,Human Resources,2187,4,No,3,40.0,0,3,3,2,0,1,2
846,1,28,Travel_Rarely,Sales,2,4,Marketing,Female,3,2,Sales Executive,4779,1,Yes,4,40.0,0,2,3,8,7,7,5
1480,1,42,Travel_Frequently,Research & Development,9,2,Medical,Female,3,1,Laboratory Technician,3673,1,No,3,40.0,0,3,3,12,9,5,8
274,1,27,Travel_Frequently,Research & Development,1,1,Technical Degree,Male,2,2,Manufacturing Director,4298,5,No,3,40.0,1,1,3,2,2,2,0
1152,1,38,Travel_Rarely,Human Resources,1,3,Human Resources,Male,4,1,Human Resources,2844,1,No,3,40.0,1,2,4,7,6,5,0
349,1,29,Travel_Rarely,Sales,20,2,Marketing,Male,3,2,Sales Executive,6931,2,No,3,40.0,1,2,3,3,2,0,2
1479,1,30,Travel_Rarely,Sales,16,1,Life Sciences,Male,3,2,Sales Executive,5301,8,No,3,40.0,2,2,2,2,1,2,2
4,0,37,Travel_Rarely,Research & Development,2,2,Other,Male,2,1,Laboratory Technician,2090,6,Yes,3,40.0,0,3,3,0,0,0,0
975,1,35,Travel_Rarely,Sales,18,3,Medical,Female,3,2,Sales Executive,4601,1,No,3,40.0,0,3,3,5,2,1,0
475,1,30,Non-Travel,Sales,25,2,Technical Degree,Female,3,2,Sales Executive,4736,7,Yes,3,40.0,1,2,4,2,2,2,2
1572,0,53,Travel_Rarely,Research & Development,2,5,Technical Degree,Female,2,3,Manufacturing Director,10169,0,No,3,40.0,1,4,3,33,7,1,9
754,1,43,Travel_Frequently,Sales,15,3,Life Sciences,Male,2,2,Sales Executive,6804,3,No,3,40.0,1,5,3,2,2,2,2
1333,0,44,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,3,1,Laboratory Technician,2362,4,No,3,40.0,0,4,4,3,2,1,2
732,1,60,Travel_Rarely,Sales,16,4,Marketing,Male,3,2,Sales Executive,5405,8,No,3,40.0,0,1,3,2,2,2,2
423,1,31,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,3,1,Research Scientist,4821,0,Yes,3,40.0,1,4,3,5,2,0,3
775,1,34,Travel_Rarely,Research & Development,8,5,Life Sciences,Female,3,2,Manufacturing Director,5121,3,No,3,40.0,1,3,3,0,0,0,0
707,1,25,Travel_Rarely,Sales,8,3,Life Sciences,Male,4,2,Sales Executive,4851,0,No,4,40.0,1,4,3,3,2,1,2
1399,1,25,Travel_Rarely,Sales,18,1,Life Sciences,Male,4,2,Sales Executive,6232,2,No,3,40.0,0,3,2,3,2,1,2
1039,1,44,Travel_Rarely,Sales,28,3,Medical,Female,4,4,Sales Executive,13320,3,Yes,3,40.0,1,2,3,12,11,11,11
773,1,38,Travel_Rarely,Research & Development,2,5,Medical,Male,3,1,Research Scientist,3057,6,Yes,3,40.0,1,0,1,1,0,0,1
1048,1,59,Travel_Rarely,Sales,1,2,Technical Degree,Male,3,3,Manager,11904,3,Yes,3,40.0,1,1,1,6,4,0,4
1789,1,46,Travel_Rarely,Research & Development,2,4,Medical,Male,3,5,Research Director,19328,7,Yes,3,40.0,1,3,3,2,1,2,2
12,1,38,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,2,3,Manufacturing Director,9526,0,No,4,40.0,0,2,3,9,7,1,8
